order_id,device_id,order_creation_time,preceding_event,following_event,previous_status,status_time,count_total_events_before_3min,count_status_code_0_before_3min,count_status_code_200_before_3min,count_status_code_401_before_3min,count_error_econnaborted_before_3min,count_error_generic_error_before_3min,count_no_error_code_before_3min,count_total_events_after_3min,count_status_code_0_after_3min,count_status_code_200_after_3min,count_status_code_401_after_3min,count_error_econnaborted_after_3min,count_error_generic_error_after_3min,count_no_error_code_after_3min,count_total_events_before_60min,count_status_code_0_before_60min,count_status_code_200_before_60min,count_status_code_401_before_60min,count_error_econnaborted_before_60min,count_error_generic_error_before_60min,count_no_error_code_before_60min
102452116,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:08:19,2020-02-26 00:08:12.125,2020-02-26 00:11:09.350,,,4,1,3,0,1,0,3,1,0,1,0,0,0,1,32,1,31,0,1,0,31
102452190,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:08:41,2020-02-26 00:08:12.125,2020-02-26 00:11:09.350,,,4,1,3,0,1,0,3,2,0,2,0,0,0,2,32,1,31,0,1,0,31
102453036,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:13:57,2020-02-26 00:13:12.644,2020-02-26 00:14:20.578,,,5,0,5,0,0,0,5,7,0,7,0,0,0,7,37,1,36,0,1,0,36
102453649,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:17:31,2020-02-26 00:17:29.623,2020-02-26 00:17:51.097,,,8,0,8,0,0,0,8,8,0,8,0,0,0,8,46,1,45,0,1,0,45
102453774,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:18:22,2020-02-26 00:18:06.815,2020-02-26 00:18:22.565,,,8,0,8,0,0,0,8,10,0,10,0,0,0,10,48,1,47,0,1,0,47
102454140,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:20:48,2020-02-26 00:20:33.516,2020-02-26 00:20:48.977,,,9,0,9,0,0,0,9,11,0,11,0,0,0,11,55,1,54,0,1,0,54
102456632,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:40:14,2020-02-26 00:40:11.531,2020-02-26 00:40:23.390,,,26,0,26,0,0,0,26,28,3,25,0,3,0,25,176,1,175,0,1,0,175
102458251,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:49:57,2020-02-26 00:49:53.945,2020-02-26 00:49:58.898,ONLINE,2020-02-26 00:44:19.575,19,0,19,0,0,0,19,18,0,18,0,0,0,18,248,4,244,0,4,0,244
102458819,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:53:46,2020-02-26 00:53:33.391,2020-02-26 00:53:55.732,ONLINE,2020-02-26 00:44:19.575,16,0,16,0,0,0,16,19,0,19,0,0,0,19,270,4,266,0,4,0,266
102463944,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 01:32:28,2020-02-26 01:32:12.189,2020-02-26 01:32:28.236,ONLINE,2020-02-26 00:44:19.575,10,0,10,0,0,0,10,11,0,11,0,0,0,11,276,4,272,0,4,0,272
102472308,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 03:01:56,2020-02-26 03:01:21.107,2020-02-26 03:02:21.237,ONLINE,2020-02-26 02:08:53.501,5,1,4,0,1,0,4,3,2,1,0,2,0,1,128,5,123,0,4,1,123
102472764,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 03:10:38,2020-02-26 03:10:37.321,2020-02-26 03:11:23.544,ONLINE,2020-02-26 02:08:53.501,2,0,2,0,0,0,2,12,0,12,0,0,0,12,113,6,107,0,6,0,107
102478030,884bd7b1-4f5c-4afb-913a-5e6e5ee03b3d,2020-02-26 08:01:56,2020-02-26 08:01:48.285,2020-02-26 08:02:03.560,,,12,0,12,0,0,0,12,12,0,12,0,0,0,12,139,0,139,0,0,0,139
102480758,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 08:14:24,2020-02-26 08:14:10.627,2020-02-26 08:14:25.919,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,232,0,232,0,0,0,232
102480819,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 08:16:44,2020-02-26 08:16:43.643,2020-02-26 08:16:58.948,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,233,0,233,0,0,0,233
102481086,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 08:19:59,2020-02-26 08:19:47.833,2020-02-26 08:20:03.168,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,232,0,232,0,0,0,232
102481121,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 08:20:43,2020-02-26 08:20:33.432,2020-02-26 08:20:48.791,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,232,0,232,0,0,0,232
102481959,b5abcecd-8afe-4fe5-9c4c-a6539308984f,2020-02-26 08:34:17,2020-02-26 08:34:03.277,2020-02-26 08:34:18.549,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,49,0,49,0,0,0,49
102482173,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 08:38:01,2020-02-26 08:37:51.945,2020-02-26 08:38:07.308,,,11,0,11,0,0,0,11,11,0,11,0,0,0,11,231,0,231,0,0,0,231
102483020,884bd7b1-4f5c-4afb-913a-5e6e5ee03b3d,2020-02-26 08:59:18,2020-02-26 08:59:14.177,2020-02-26 08:59:29.420,,,12,0,12,0,0,0,12,12,0,12,0,0,0,12,189,0,189,0,0,0,189
102483198,884bd7b1-4f5c-4afb-913a-5e6e5ee03b3d,2020-02-26 09:02:00,2020-02-26 09:01:46.931,2020-02-26 09:02:02.185,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,189,0,189,0,0,0,189
102483764,b5abcecd-8afe-4fe5-9c4c-a6539308984f,2020-02-26 09:02:53,2020-02-26 09:02:42.494,2020-02-26 09:02:57.969,,,12,0,12,0,0,0,12,12,0,12,0,0,0,12,141,0,141,0,0,0,141
102486059,1f431c5f-3ee7-4e5a-a450-1f31779bfd53,2020-02-26 09:32:13,2020-02-26 09:31:40.694,2020-02-26 09:32:28.339,,,10,0,10,0,0,0,10,10,0,10,0,0,0,10,170,0,170,0,0,0,170
102489610,71cbd9d5-01c5-4e7a-abdb-87ed574e9b54,2020-02-26 10:07:29,2020-02-26 10:07:26.051,2020-02-26 10:07:41.259,,,12,0,12,0,0,0,12,1,0,1,0,0,0,1,232,0,232,0,0,0,232
102490190,4a771d87-1cc3-4531-a671-9a2ae14628f0,2020-02-26 10:12:38,2020-02-26 10:12:28.417,2020-02-26 10:12:45.315,ONLINE,2020-02-26 03:17:50.780,11,0,11,0,0,0,11,11,0,11,0,0,0,11,34,0,34,0,0,0,34
102490403,884bd7b1-4f5c-4afb-913a-5e6e5ee03b3d,2020-02-26 10:14:07,2020-02-26 10:14:02.370,2020-02-26 10:14:17.915,,,11,0,11,0,0,0,11,11,0,11,0,0,0,11,104,0,104,0,0,0,104
102491029,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 10:19:41,2020-02-26 10:19:36.837,2020-02-26 10:19:52.128,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,224,2,222,0,2,0,222
