Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,Montana,Helena,8,14,2010,58.6
North America,US,Alabama,Huntsville,7,22,2010,86.0
North America,US,Kansas,Topeka,2,10,2010,20.7
Africa,Central African Republic,,Bangui,6,27,2010,79.0
Africa,Ethiopia,,Addis Ababa,10,2,2010,63.2
North America,US,New Jersey,Newark,10,4,2010,55.1
North America,US,Georgia,Savannah,6,30,2010,80.1
North America,US,North Carolina,Raleigh Durham,8,22,2010,81.8
South/Central America & Carribean,Cuba,,Havana,6,30,2010,81.0
Europe,Norway,,Oslo,12,6,2010,7.6
South/Central America & Carribean,Suriname,,Paramaribo,12,31,2010,80.9
Middle East,Oman,,Muscat,8,23,2010,86.2
North America,US,Alaska,Fairbanks,12,21,2010,-24.6
North America,US,Nebraska,Lincoln,7,2,2010,77.4
North America,US,Pennsylvania,Erie,8,18,2010,73.2
North America,US,Tennessee,Knoxville,8,6,2010,78.1
North America,US,New York,New York City,6,17,2010,72.6
North America,US,Texas,Dallas Ft Worth,11,2,2010,56.6
North America,US,North Dakota,Fargo,6,2,2010,57.3
North America,US,Florida,West Palm Beach,8,30,2010,77.7
North America,Canada,,Ottawa,9,16,2010,49.6
South/Central America & Carribean,Honduras,,Tegucigalpa,9,16,2010,72.0
South/Central America & Carribean,Uruguay,,Montvideo,12,19,2010,68.1
North America,US,Minnesota,Duluth,11,1,2010,35.6
North America,US,Illinois,Rockford,8,14,2010,75.4
North America,US,Michigan,Sault Ste Marie,7,6,2010,71.9
Asia,Singapore,,Singapore,5,20,2010,85.3
North America,US,North Dakota,Bismarck,5,29,2010,72.0
North America,Canada,,Edmonton,7,7,2010,65.9
North America,Mexico,,Guadalajara,12,18,2010,52.5
Asia,Sri Lanka,,Colombo,7,18,2010,81.6
North America,Canada,,Vancouver,4,1,2010,43.5
North America,US,Pennsylvania,Erie,3,3,2010,30.7
Europe,France,,Paris,10,18,2010,43.6
Australia/South Pacific,Australia,,Canberra,9,5,2010,46.3
North America,US,Montana,Billings,10,25,2010,47.1
North America,US,New York,Buffalo,11,7,2010,35.6
North America,US,Florida,Miami Beach,9,5,2010,82.4
North America,US,Indiana,Indianapolis,5,12,2010,61.9
North America,US,Additional Territories,San Juan Puerto Rico,1,1,2010,80.2
Asia,North Korea,,Pyongyang,2,5,2010,15.9
Asia,North Korea,,Pyongyang,1,8,2010,12.8
Africa,Egypt,,Cairo,3,23,2010,65.4
North America,Canada,,Quebec,7,13,2010,73.3
North America,US,Tennessee,Memphis,8,20,2010,87.9
North America,US,Ohio,Youngstown,9,26,2010,51.0
North America,US,Alaska,Juneau,4,7,2010,36.1
Europe,Finland,,Helsinki,6,16,2010,56.2
Europe,Portugal,,Lisbon,10,6,2010,66.4
North America,US,Connecticut,Hartford Springfield,5,29,2010,67.5
North America,US,Georgia,Atlanta,2,26,2010,34.2
South/Central America & Carribean,Brazil,,Brasilia,7,30,2010,68.7
North America,US,Minnesota,Duluth,10,26,2010,51.1
